,g_[Eubacterium]_coprostanoligenes_group,g_[Eubacterium]_hallii_group,g_[Eubacterium]_ruminantium_group,g_Acidaminococcus,g_Alloprevotella,g_Bifidobacterium,g_Butyricicoccus,g_CAG-873,g_Campylobacter,g_Candidatus_Methanogranum,g_Christensenellaceae_R-7_group,g_Collinsella,g_Coprococcus_2,g_Coriobacteriaceae_UCG-003,g_Dialister,g_Elusimicrobium,g_Enterorhabdus,g_Erysipelotrichaceae_UCG-004,g_Faecalibacterium,g_Family_XIII_AD3011_group,g_Family_XIII_UCG-001,g_GCA-900066575,g_Helicobacter,g_Lachnoclostridium,g_Lachnospira,g_Lachnospiraceae_FCS020_group,g_Lachnospiraceae_ND3007_group,g_Lachnospiraceae_NK3A20_group,g_Lactobacillus,g_Libanicoccus,g_Marvinbryantia,g_Megasphaera,g_Olsenella,g_Oribacterium,g_Peptococcus,g_Prevotella_2,g_Prevotella_7,g_Prevotella_9,g_Prevotellaceae_NK3B31_group,g_Prevotellaceae_UCG-003,g_Prevotellaceae_UCG-004,g_Rikenellaceae_RC9_gut_group,g_Ruminiclostridium_6,g_Ruminiclostridium_9,g_Ruminococcaceae_NK4A214_group,g_Ruminococcaceae_UCG-002,g_Ruminococcaceae_UCG-003,g_Ruminococcaceae_UCG-005,g_Ruminococcaceae_UCG-008,g_Ruminococcaceae_UCG-009,g_Ruminococcaceae_UCG-010,g_Ruminococcaceae_UCG-011,g_Ruminococcaceae_UCG-013,g_Ruminococcaceae_UCG-014,g_Ruminococcus_1,g_Senegalimassilia,g_Slackia,g_Solobacterium,g_Streptococcus,g_Succinivibrio,g_Treponema_2
Baboon_101,0.22300261792366055,0.0,0.31009139116927376,0.4976141179551508,0.0,0.7610603408289848,0.024137563350820908,0.929069004368477,0.38144202696665114,0.4921178854744579,0.6880209103721716,0.4856057843318861,0.47781060911209855,0.19552737560340705,0.15130265063589557,0.5278741600390691,0.46652940679020677,0.9776318801395892,0.0,0.5809660374405617,0.18988489819811022,0.6682782499565201,0.07242716778478563,0.07829973870267967,0.0,0.30800358331653277,0.0,0.5979824983744813,0.3086595828107563,0.4568721167699111,0.21903110122036676,0.3330386543709761,0.37796527431010224,0.042370238802691126,0.5206390224721383,0.3723284113772361,0.25682547364173874,0.31481358677719634,0.0,0.09127781791601838,0.8780234873456157,0.7602839479398572,1.0,0.2867987907317891,0.3591592157974645,0.371858718956707,0.48646177067929386,0.6800801387145137,0.0,1.0,0.43205962230926126,0.5415200481512398,0.0,0.4017408734911726,0.5888792310536729,0.6228115447371765,0.6041906852704474,0.14270592242141023,0.3719713762780416,0.0,0.9964896357831187
Baboon_107,0.4918977878193545,0.9545848977487378,1.0,0.7009617023899929,0.24545527732150224,0.4809367657637621,0.5903129631759708,0.9132155077205828,1.0,0.3960272858834605,0.7179916150663248,0.9606622151050573,0.9382474986556109,0.8858565745089018,0.2212072887918821,0.010298926745575783,0.5659575059323978,0.22264405008250185,0.9290381605256008,1.0,0.45578621038152545,0.05067553062465502,0.17600788933248046,0.5509746495067281,1.0,0.23324386653851653,0.8077592657526647,0.15174201216048902,0.838110153762232,0.4174374267683148,0.6595626643977596,0.3973680070026208,0.5759873617173713,0.997569472113125,0.5509208269564082,0.4076120611245917,0.3699008472169532,0.5312088658760575,0.2987019773668463,0.8339328274378114,0.9029736765317374,1.0,1.0,0.16188594283172095,0.615068821411169,0.9390797693857678,0.40674906225463187,0.789496952677802,0.89032848639328,1.0,0.37695849106464024,0.9707301901420982,0.4924500882968525,1.0,0.8100250129746419,0.5801159007341907,0.5021230053499376,0.8707471073419492,0.6005054466938082,1.0,0.5373358804189755
Baboon_109,0.10529288242293541,0.7417938112474189,0.4968162188013398,1.0,1.0,0.9983963187515501,0.49425530884187735,0.47871937314571267,0.5762418510679675,0.13001878782876194,0.6126062154713012,0.8326550563498419,0.48089154420126273,0.32080817244014403,0.3770030614006865,0.20018159654106218,0.3084766621391186,0.2105597671569457,0.07574129618376828,0.8090399611306499,0.850320598558866,0.4437402288080207,0.638130190528524,0.4196212484093732,0.6043845850527583,0.40537919527926425,0.21199551584253262,0.7931257956713287,0.5780258726681153,0.3926678559865668,0.7465702628739683,0.01372196675301265,0.4096707346437947,0.6349830136424071,0.5311251269502545,1.0,0.23279294044028434,0.39485989430009316,0.6856438911448768,0.39384315135456616,0.5642213100867516,0.13748317505769442,0.05582424102266474,0.7973329070694456,0.2559463321061322,0.10251472437095492,0.45465814000492394,0.322815412679738,0.0,0.3581845518694087,0.6443011533036729,0.4029321679682441,0.1562212925705866,0.2179105894374418,0.38450743968657025,0.5482665021986669,0.46972594135797485,0.38277205983357077,0.7775181064360049,0.9855568134840507,0.38072064130802674
Baboon_113,0.6324519557596073,0.45432463692991376,0.6738237097860565,0.2738463286470221,0.8345241417326923,0.6019801115354769,0.9215262046238268,0.22992639856869454,1.0,0.6883809769301259,0.7528389671908179,0.9864629118129014,0.3902029035910024,0.9325637257626118,0.29606511141514513,0.43444490759244214,0.695876446761342,0.36556297862952486,0.3937530693666264,0.5876232971100246,0.07962624243108493,0.598831209326874,0.7782973339102639,0.7142497099100235,0.7055257735386535,0.44265318171442725,0.29572719146782145,0.18058794309453827,0.9938171623193943,0.9707580711070088,0.3321282364145893,0.43045545901945514,0.6051729371166639,0.42752028999486796,0.40139982014856224,0.9753530162299442,0.16015782120252853,0.7684031397367299,0.7641195685342721,0.3950482138682797,0.499929720797837,0.8341932634940892,0.3507400818319463,0.1600497342999654,0.7026815094954827,0.788982858160018,0.5107654331201739,0.78744462440787,0.7214683190037564,0.5333899017580988,0.5479443181678676,0.7966046332631318,0.3973831932842552,0.6696329313919016,0.6208303183870706,0.8895144367856151,0.9000053128277885,0.5765036424089648,1.0,0.09854668630904327,0.47517090446579596
Baboon_136,0.24037010471616166,0.8304009371622652,0.5764523193645108,0.47803303377683914,0.7641332655958694,0.1930535449989159,0.6441572998907777,0.5256602108362795,1.0,0.19735760936112326,0.6226195552845013,0.30338401393492,0.2754504173431632,0.6613707346980929,0.3379327212292174,0.23503780349234163,0.39965608023819094,0.009718962071236901,0.7202864114963395,0.4386572419168824,0.5367086819820315,0.41406301415561764,0.7669946894173288,0.5437516341213171,0.5271979499840705,0.29228344251141325,0.8344127881839689,0.39361799877151604,0.8010924716176406,0.5154166585130178,0.10659168996133553,0.15613790064760658,0.17929964039786753,0.4309576236374393,0.2555792349743138,0.21176463602912876,0.5158119930526056,0.8322498775388194,0.486887715495019,0.7908367446984643,0.3159089497940986,0.40708905485173874,0.9834560936757737,0.3989480364224213,0.5801194671498054,0.9376436033425968,0.41630818265992126,0.774364862367046,0.16478914453899826,0.6040608341113729,0.5982188120770762,0.5256063880996997,0.6605054121061619,0.21624889679825401,0.5356073957116744,0.6089379166950574,0.347094811905825,0.4173968288017119,0.8870976869712104,1.0,0.9740866117132609
Baboon_153,0.9334181510302748,0.0,0.3371097287962795,0.25797671771481545,0.3431496318938139,0.917808844957347,0.35684585921319617,0.9272958327019046,0.3938847740871965,0.8503602251132542,1.0,0.9219609037139493,0.5105847659139221,0.9189141794122005,0.41109934411613,0.10161456544063623,0.22140125743628067,0.43892287510114725,0.7915888002552096,0.8114710677000203,0.4669927698288988,0.3792249040037481,0.5929480234149686,0.6909936124530657,0.539911801368702,0.6868180590725317,0.705606213053746,0.3269276229132667,0.44419047081109037,1.0,0.7612196042574438,0.3804256047039669,0.855935959600213,0.5256799573070496,0.9253763287677589,0.16536083589332565,0.064273657586989,0.4601593580544366,0.3166960198420152,0.9082694502098799,0.5052452230280381,0.7680211054392836,0.8938146215796844,0.31321913021681136,0.5312144338953827,0.8955458612337173,0.588597423854559,0.964282469557893,0.7880328932319342,0.8871482905052436,0.6773267563802698,0.9658339554935024,0.9042134302846714,1.0,0.5687412125743584,0.5267570701207903,0.8663961920230231,0.5773247320300703,0.9528474864801999,0.9061495738975798,0.9396967801305998
Baboon_157,0.9050475847814333,0.0,1.0,0.04632490651634363,0.5417555227516103,1.0,0.31593438834329907,0.9903264330333812,1.0,1.0,1.0,0.5545594167565573,0.4597243617249602,0.4943782252275596,0.7121303815875518,1.0,0.6722981841394158,1.0,1.0,0.9923735345904485,0.789511550502558,0.18741966800024634,0.5144994134011434,0.6105015260697634,1.0,0.09424486712918227,0.9248888690896396,0.7865049179426102,0.12358312727096409,0.7222573283716544,0.3316780541357965,0.10699268033318872,0.8934732190379718,0.8422797040533241,0.9026758022154302,0.48939745633442,0.36490918192699745,0.3090864478508623,0.5546677113191685,1.0,1.0,0.9125993514313048,1.0,0.039974297812072276,1.0,1.0,0.4676809502914076,0.9547391978552726,0.37933580211952356,1.0,0.9522186037631233,1.0,0.7335218398219489,1.0,0.7982690292115546,0.40382854502778365,0.3420486736783775,0.11619068530576583,0.10234836536820119,0.9376779610239404,1.0
Baboon_180,0.7624888902029995,0.4375280805427784,0.6391441739484628,0.47742706480256103,0.332664171044576,0.6847623153850871,0.46902609309557675,0.32207435303131854,0.9501815626853497,0.0003990096194245866,0.4752601853864575,0.6217652048516755,0.21994375455195142,0.04167221606268808,0.9452941330658189,1.0,0.4840896750593469,0.8719338473664228,0.743030048765928,0.7169582517464493,0.867410194038075,0.13376428550118827,0.7071526534724031,0.6717570079156107,0.4357850742989004,0.5548352287808928,0.5722840593931593,0.255910932879302,0.5597050993382857,0.6784245886914247,0.18220725711049165,0.18666065074452523,0.4837355144807733,0.9999805399334939,0.39663810472158273,0.3874340497578649,0.5036122454496138,0.7767443594085078,0.5888934400025002,0.2392736771750329,1.0,0.555496555298023,1.0,0.08187648834641048,0.287295603515319,0.7992882090189555,0.48253184354101974,0.32185666223924314,1.0,1.0,0.43643985986098544,0.46080031817792994,0.9670322363620811,0.3443512432209545,0.10830078098322696,0.4290456660337406,0.5361030843955623,0.38666510592745545,0.8145798092680111,1.0,0.9632209996521598
Baboon_199,0.3008240107340408,0.0,0.004410617388885463,0.31971864447642334,0.5542888932480687,0.12234267038238283,0.1662818937307053,0.5828155779698729,0.8051744660524712,0.23009251380498033,0.49725589364931344,0.7615011850967278,0.054609885509897774,0.6598587119093543,0.35538010343277443,0.5116480486220693,0.29039861965089453,0.8313782670645982,0.05316111379258005,0.8909738207570518,0.2062679137024706,0.43551478224462464,0.914871025077283,0.5917514268897826,0.18578516134832201,0.3587537835465435,0.41595600125058824,0.8189993581654799,0.5681248017075904,0.7709456221390263,0.36993854852633823,0.512246588493316,0.4501243729748726,0.11008286724459818,0.5036675807112666,0.6163840307213448,0.0,0.17645079787003257,0.15414709870086155,0.28501679119287604,0.8694873071737288,0.7440953810207169,0.10743138479198348,0.10143322360030955,0.8244004848173047,0.03980918623915169,0.5426774816806913,0.39920132612549347,0.32403421704999646,0.42574417294880884,0.6692953423761674,0.676036856331472,0.4194075165660808,0.08542516027353908,0.24056696593967017,0.4821739085167548,0.5370323603909619,0.36285002994916854,0.32986318850536817,0.9872206976941797,0.13529042909451572
Baboon_200,0.41864659235172763,0.09640534446050686,0.9383845179483256,0.6176340165864987,0.9572982657318639,0.5911603342714624,0.3081308643184556,0.3803564641163052,0.4573854100973415,0.5501223407154971,0.9226320030279971,0.9787139098903331,0.6966559354847834,0.6027838871130127,0.573719600317461,0.783898794693481,0.32334076917365606,0.1590565871964637,0.6682165132596185,0.7452555117965638,0.22090060140763365,0.732778359561238,0.5499809636998767,0.3591628526677768,0.33332479773964657,0.44876934928929846,0.35002790937928857,0.2132381858470595,0.9326028472884266,0.7907510398799046,0.3742341143555747,0.8674953912761942,0.4717924555983802,0.4852996547109005,0.5219360825705246,0.44226775077234276,0.18860720462578676,0.581030501145392,0.4334609037722395,0.7349736958013441,0.6860385450504066,0.7011569458007342,0.24905086980109117,0.6728472504863611,0.5453684872255071,0.5783676321840743,0.44928656385451626,0.44351779053195295,0.19051997601984022,0.399409783915164,0.960714724234787,0.5475294516431348,0.6202126651402085,0.7401474138208026,0.6033136914681906,0.8027221807324707,0.5742980900799793,0.5742539320028094,0.6485656920221355,0.5258336169109081,0.5482287325711286
Baboon_201,0.3531688829461707,0.0,0.07256887234045784,0.09655374181128062,0.6108896575431964,0.9581688755510687,0.28548257607632427,0.06247236257785572,1.0,0.5307870176752588,0.9381876930635865,0.4396358689728902,0.46052392489429517,0.3071754163792578,0.6387294481729135,0.24375539596905432,0.42978897308786235,0.0,0.6338339572456618,0.5745777909810054,0.7755022193104323,0.34045389656019515,0.42271597376372877,0.6761555922399572,0.533396602424312,0.4429025636700697,0.44729449229768636,0.4630302616151561,0.32282927008593154,0.5824167974987405,0.3526422584907193,0.25345249120180613,0.579171128339926,0.24387524066889069,0.6350597496711843,0.5913889642629824,0.08864811179877392,0.5601955731178886,0.6724596918743209,0.22808625025111962,0.5372153882610754,0.6048143567283266,0.4629612225582241,0.45305607649208496,0.3866174540372571,0.20891481659360525,0.4421317745329296,0.7650691755998141,0.40563837030718003,0.9828177418122137,0.4514061347576807,0.666599871524145,0.4135434720004036,0.46454513905848954,0.47222650998072335,0.7254484212954895,0.5116866590111488,0.24098264514835102,0.0,0.9447286136962574,0.3432084872457922
Baboon_206,0.48341625993671833,0.023590260911275886,0.6462516326212427,0.39651795176690996,0.4341365717901726,0.2879745935997786,0.5803141220410425,0.3597280048459155,0.7969151630366734,0.6151483769944084,0.6500742787488268,0.5488578931455699,0.13827856091284732,0.7687778245275604,0.5523283603587748,0.5522343784325997,0.6400257213784368,0.0,0.7477021198701066,0.7926153884836649,0.5515694821962175,0.5018521843768202,0.3087555562238999,0.9873688877867796,0.2863999461644912,0.5231919788990614,0.540289984227873,0.058199988592417255,0.4286723461157508,0.4851916074107006,0.7322476580759671,0.2719434602709583,0.653462984064428,0.2849690058093368,0.7006204059284533,0.26913159190223407,0.33971222752879277,0.46035260720338916,0.2910594057406712,0.30849038825654806,0.39413528207051596,0.4703132383532017,1.0,0.4828968804721935,0.42901613969568386,0.9380633229637363,0.5386028232628342,0.2752518493431989,0.13988622458617597,0.5930913364338105,0.5804177698630221,0.4772113198414184,0.9087118533898478,0.10645584957761754,0.5376307088672215,0.5410638330691627,0.40902941635711715,0.1706488111164829,0.4850438626015982,0.2299853349897161,1.0
Baboon_209,0.3262559910794525,0.18849002137468293,0.3351789433047724,0.3568688607003481,0.3730043638286626,0.168490048448215,0.5477120185049996,0.16011956314442155,0.8153542610449775,0.5355038691814967,0.10127785832011912,0.7170072663407927,0.1866545839729087,0.607698812260801,0.7441537731441764,0.33433370147479485,0.72269505962039,0.2035972385550799,0.47227433041538924,0.29899059770945335,0.38628456184960686,0.331638094620283,0.6473618368202871,0.04275918638497654,0.34628294582499286,0.4860498247359247,0.5353023150936671,0.34276352055457765,0.4873863894217411,0.877156799396505,0.206700430583629,0.6857850829357126,0.6508241155389788,0.30889378924096506,0.5092572670352191,1.0,0.5721020975991503,0.43566312492285686,0.7333456851072941,0.25525331833083353,0.47678164749125757,0.5970683338389567,0.30935267611265505,0.5499998462447211,0.2147263782113866,0.687193574527347,0.381584647144722,0.46679091233807385,0.47310122910052815,0.21160847836817598,0.27536901347543735,0.19712750486458835,0.06992783905962031,0.040930096487158285,0.3837334155443878,0.601779897275167,0.7049544709443751,0.8589570798769379,0.6479361622470343,0.907328454522521,0.0
Baboon_238,0.47107592844825663,0.34243890518134046,0.6120268013220995,0.3024735751387069,0.34718662727604643,0.8897124735174345,0.5769868715796522,1.0,1.0,0.31148940523975943,0.33630994546223614,0.9016541611388721,0.0783660214494687,0.04273281585579073,0.07205632185350906,0.0,0.4268064022540776,0.0,0.0,0.9010338176529139,0.9555848697528522,0.35013776372841543,0.0,0.036770922095810135,0.7814934222530457,0.11922922781290059,0.2344467209883726,0.45666589649768746,0.9765325551010392,0.9206672218301247,1.0,0.22376630023296198,0.23383280060563125,0.05400057063744917,0.25306287364073826,0.37665854567732,0.22385398700172027,0.3672988426071893,0.18061207593228387,1.0,0.06293571119898932,0.9449686684547507,0.9592212801620683,0.6350956392210563,0.4297310791833463,0.8228208763483614,0.5141693299452873,0.14443874215532718,0.1819218157591949,0.49336089926016996,0.5252072843233847,0.8922382300391077,0.8438413320210228,0.2553694448020546,0.7601691633869905,0.6632268082491197,0.9497433267322365,0.981892277842723,1.0,0.7924093898504645,1.0
Baboon_245,0.6282601855937776,0.6846693484223109,0.19642613710940646,0.35722592362173267,0.5068698134322014,0.593837978209043,0.5896400881991076,0.26740569024334654,0.20995719497522558,0.5100536421420327,0.822080773127237,0.9178982432319793,0.2242778799264944,0.6217010148826929,0.7060499086124058,0.5593485476486982,0.6273904558443152,0.11133262223927069,0.4662155395756156,0.6714189243528562,0.4922644859519994,0.5898750939395073,0.7788662796514784,0.4306511344929308,0.5205733031224116,0.4925801880755058,0.5338803953482029,0.4274110183048693,0.6442242399775087,0.49380932669080246,0.5231912994173394,0.2176753664898847,0.4954371038307838,0.3388762371637928,0.5382581745633443,0.7379394552129397,0.2555121887489355,0.43662918989802146,0.432506042382378,0.15602489099751599,0.42302009501255633,1.0,0.6095629915949589,0.16313459907115863,0.46757760003180215,0.5498487631876089,0.44534981275499236,0.5605320066364545,0.7962551530960205,0.5108438747792882,0.6699434578943635,0.7414559837189735,0.7714175811907878,0.538123161444937,0.5390561382945781,0.42501281953040854,0.6345442226060736,0.7481428389243503,0.2906989390988579,0.6176181933776336,0.6291841073351
Baboon_249,0.39670591590992155,0.5304800018894691,0.9552046754086722,0.7249707741074619,0.6221368661428097,0.33550927082653964,0.4874072222624504,0.17955653263108484,0.5226749391367874,0.5512184378211709,1.0,0.6045194756801547,0.29435951397440685,0.5461131500145101,0.33881348693103397,0.4500827873852152,0.6221704348337943,0.8304670671015305,0.8746275452595913,0.4798161265561376,0.5800224789596186,0.4463112609470211,0.504698952028688,0.7085237144947792,0.49036861215334676,0.5172237153426275,0.14864922772213163,0.5600011374724491,0.11784167718452139,0.3854209156091465,0.7537969031405182,0.347371569455353,0.6003759497680523,0.6609776129967886,0.5584816464382582,0.5140614067957655,0.26027897091739116,0.6298218957111932,0.36018837343903676,0.1307450737507411,0.728363030140102,0.7813522409271323,0.052700180887550144,0.4847343237991721,0.37040080123113833,0.12815678837603836,0.5406205346353855,0.3985093884317442,0.0,0.5920000038648419,0.5548558044026105,0.5964562551280003,0.49443566418663265,0.17914115110335066,0.6076650299856408,0.4175523430013782,0.4942063530844695,0.6546218200347215,0.4833294267999414,0.2025953258877117,0.22532005856158716
Baboon_253,0.7926336603062041,0.5318484830954604,0.4043228750411223,0.45660454874630524,0.3157652475889765,0.0,0.4546230364010699,0.0652884556125455,1.0,0.19335161310878005,1.0,0.34676212765822817,0.1160503233188943,0.7801858634006149,0.0,0.9348609331817979,0.1505450933750198,0.6528712618526561,0.04363967913625124,0.7259222729992275,0.6918528216402776,0.5224774208347934,0.0,0.6644506296283782,0.6647218332590304,0.5310944006946147,0.06853038422164316,0.6672358599087614,0.9793935428603111,0.5573233786932484,0.34313283618561685,0.0,0.1780634111008887,0.4568376350881404,0.2582802443000472,0.0,0.15247249623944384,0.24787723689081664,0.5094333440844538,0.437403290690409,0.49366770107305297,0.5184776434577122,0.0,0.8089493540839611,0.5095834817279444,0.2195293083334016,0.41041919353379525,0.18632570672201923,0.011744996457248327,0.4844850836746749,0.5029822027074222,0.4330346200103228,0.6633734220392786,0.5417252658600338,0.5546162757035501,0.5237548414819478,0.0,0.03033739165289882,0.01892864248305178,0.36198265485689823,0.6032045311911503
Baboon_258,1.0,0.6094759774842858,0.498262222173515,0.7347489911316414,0.0400687893844895,0.35805753757705516,0.44678816949691286,0.8471672080673567,0.7757315715791737,0.4220483809752454,0.7871647720352893,0.2527622724138648,0.2873931042322319,0.07587041748258395,0.07797923620340562,0.9563589998823976,0.4641914903159434,0.6484810189376805,0.1344277023709425,0.1951663297633963,0.4701575213528338,0.4243757453051565,0.027993463948483795,0.7796084000421999,0.0,0.5432930080678601,0.3346202862798072,0.9668223891303096,0.7801006780744902,0.4141606479388394,0.040556743114107126,0.829994735644249,0.8641560308526802,0.6037617151929106,0.0,0.0,0.8381980867240505,0.12453121903851148,0.2737028541708897,0.5554499422179099,1.0,0.5558672072714846,0.339684539575357,0.6596509073365389,0.15905132349015413,0.7125518404497722,0.3959440867237483,0.45320583754442395,0.5905052277589461,0.25717959942185764,0.5707958039496777,0.5958432537345352,0.27268156010997463,0.3196865807179721,0.0,0.36080687971999287,0.4224594345345064,0.14758455588149252,0.035178040755561704,0.42094457611616204,1.0
Baboon_259,0.5472760936218914,0.6319841897314054,0.0,0.5985826557867049,0.13272970575207813,0.1466643681510859,0.6198179356769181,0.2598373506374593,0.7778598084072547,0.0903594484449972,0.7764912302317396,0.5872983308100443,0.0,0.5040832077512164,0.5993220141823211,0.6409220965501532,0.5193063369591032,0.0,0.0,0.9376043134514243,0.8911502876937204,0.41610941945351076,0.11386396250278608,0.23290092756452435,0.453992154538572,0.5800530077871119,0.046912480238328995,0.7439614881655663,0.8813101407948406,0.5026586397959932,0.4313396161432472,0.4752535709907028,0.5314271622908359,0.864327198342229,0.34730005322417945,0.11007857052602023,0.7923097439563762,0.0,0.28961830707627984,0.3151030923737203,0.49321963229651816,0.43807757223558574,0.0,0.3060347343659495,0.3403151422131308,0.6273864283862806,0.3002836764550623,0.5208521944412584,0.5197909969451052,0.8006263373621657,0.39292309092401123,0.6436286910988543,0.14219828226960957,0.21919662879185403,0.6483748263467204,1.0,0.3858478390902955,0.33865036621306066,0.9660150934407165,0.17458441963883684,0.997396849684842
